index,RSI
2020-05-06,46.3527
2020-05-05,45.9936
2020-05-04,45.2960
2020-05-01,46.7044
2020-04-30,48.0211
2020-04-29,48.1262
2020-04-28,48.1005
2020-04-27,47.1623
2020-04-24,46.8546
2020-04-23,46.6654
2020-04-22,45.9295
2020-04-21,45.7315
2020-04-20,46.2750
2020-04-17,46.4850
2020-04-16,45.5122
2020-04-15,46.6554
2020-04-14,47.8865
2020-04-13,48.6609
2020-04-09,46.8153
2020-04-08,44.7246
2020-04-07,44.9813
2020-04-06,43.5331
2020-04-03,42.8351
2020-04-02,43.2734
2020-04-01,42.9889
2020-03-31,43.4242
2020-03-30,43.4551
2020-03-27,44.2779
2020-03-26,44.9787
2020-03-25,43.3883
2020-03-24,42.2516
2020-03-23,41.5546
2020-03-20,45.2151
2020-03-19,46.7361
2020-03-18,44.7821
2020-03-17,43.7429
2020-03-16,44.1475
2020-03-13,47.4882
2020-03-12,44.7065
2020-03-11,48.8687
2020-03-10,50.7894
2020-03-09,49.9546
2020-03-06,53.7771
2020-03-05,54.6584
2020-03-04,55.4055
2020-03-03,54.7378
2020-03-02,54.1275
2020-02-28,51.8345
2020-02-27,54.9158
2020-02-26,56.2845
2020-02-25,59.9581
2020-02-24,58.6727
2020-02-21,61.9964
2020-02-20,60.3718
2020-02-19,60.3718
2020-02-18,60.2622
2020-02-14,60.1333
2020-02-13,58.7647
2020-02-12,59.6004
2020-02-11,57.8255
2020-02-10,57.4522
2020-02-07,59.3380
2020-02-06,61.0131
2020-02-05,62.0124
2020-02-04,58.4962
2020-02-03,57.4380
2020-01-31,56.8111
2020-01-30,57.0531
2020-01-29,57.6697
2020-01-28,56.9714
2020-01-27,56.3003
2020-01-24,59.1581
2020-01-23,58.1222
2020-01-22,58.8695
2020-01-21,58.6295
2020-01-17,58.7939
2020-01-16,58.4199
2020-01-15,57.5273
2020-01-14,55.8153
2020-01-13,53.5697
2020-01-10,53.6189
2020-01-09,52.4091
2020-01-08,51.8833
2020-01-07,52.7185
2020-01-06,52.2506
2020-01-03,52.5733
2020-01-02,54.2530
2019-12-31,52.9153
2019-12-30,53.3127
2019-12-27,53.6849
2019-12-26,53.5254
2019-12-24,53.5885
2019-12-23,52.1669
2019-12-20,52.1746
2019-12-19,51.2087
2019-12-18,51.1378
2019-12-17,49.2544
2019-12-16,50.1760
2019-12-13,50.7018
2019-12-12,48.7921
2019-12-11,48.2466
2019-12-10,47.6871
2019-12-09,47.4114
2019-12-06,47.4387
2019-12-05,46.6682
2019-12-04,47.2897
2019-12-03,46.8859
2019-12-02,48.2387
2019-11-29,47.9817
2019-11-27,48.2577
2019-11-26,47.8403
2019-11-25,47.8118
2019-11-22,47.1000
2019-11-21,47.8574
2019-11-20,48.1282
2019-11-19,49.4721
2019-11-18,48.3373
2019-11-15,48.3234
2019-11-14,47.1114
2019-11-13,46.6492
2019-11-12,48.7641
2019-11-11,49.0910
2019-11-08,50.4416
2019-11-07,49.1701
2019-11-06,48.5708
2019-11-05,49.6407
2019-11-04,47.3225
2019-11-01,44.4227
2019-10-31,44.9821
2019-10-30,45.3454
2019-10-29,45.7350
2019-10-28,45.1855
2019-10-25,45.8640
2019-10-24,48.9054
2019-10-23,48.3051
2019-10-22,48.1900
2019-10-21,48.6659
2019-10-18,48.8927
2019-10-17,48.9769
2019-10-16,48.6218
2019-10-15,48.6489
2019-10-14,48.8706
2019-10-11,47.6628
2019-10-10,45.7964
2019-10-09,46.0206
2019-10-08,46.4291
2019-10-07,46.9932
2019-10-04,47.7518
2019-10-03,47.0332
2019-10-02,47.8947
2019-10-01,49.6215
2019-09-30,48.4117
2019-09-27,47.7732
2019-09-26,48.2604
2019-09-25,48.0606
2019-09-24,48.5079
2019-09-23,48.1380
2019-09-20,48.5914
2019-09-19,47.7128
2019-09-18,47.6782
2019-09-17,48.2054
2019-09-16,48.6653
2019-09-13,49.2796
2019-09-12,48.8278
2019-09-11,48.3272
2019-09-10,46.0897
2019-09-09,44.6661
2019-09-06,44.3409
2019-09-05,43.8287
2019-09-04,43.3012
2019-09-03,42.8676
2019-08-30,43.0240
2019-08-29,42.5192
2019-08-28,41.4266
2019-08-27,42.6701
2019-08-26,42.2530
2019-08-23,43.1689
2019-08-22,44.3451
2019-08-21,44.6863
2019-08-20,44.0828
2019-08-19,43.9168
2019-08-16,42.5688
2019-08-15,43.6705
2019-08-14,44.8450
2019-08-13,45.3772
2019-08-12,46.7705
2019-08-09,48.0396
2019-08-08,49.8184
2019-08-07,42.2537
2019-08-06,43.0104
2019-08-05,43.9127
2019-08-02,45.1022
2019-08-01,47.6252
2019-07-31,48.3196
2019-07-30,47.6661
2019-07-29,48.9433
2019-07-26,49.1260
2019-07-25,49.3601
2019-07-24,48.9201
2019-07-23,48.4642
2019-07-22,49.0404
2019-07-19,48.0486
2019-07-18,47.4404
2019-07-17,47.8216
2019-07-16,47.0311
2019-07-15,47.6152
2019-07-12,46.0141
2019-07-11,45.6537
2019-07-10,46.0432
2019-07-09,45.1063
2019-07-08,45.5546
2019-07-05,46.0977
2019-07-03,45.2682
2019-07-02,45.5871
2019-07-01,45.9247
2019-06-28,45.0004
2019-06-27,44.6983
2019-06-26,43.6127
2019-06-25,43.5579
2019-06-24,43.6294
2019-06-21,44.0685
2019-06-20,44.6113
2019-06-19,45.3354
2019-06-18,45.7737
